Autovetture distinte per regione alimentazione e fascia di cilindrata Anno 2021,,,,,,,,,,,,
REGIONE,ALIMENTAZIONE,FASCIA,EURO 0,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,Non contemplato,Non identificato,TOTALE
PIEMONTE,BENZINA,Fino a 1400,131289,22606,94805,125001,290591,153929,342301,,839,1161361
PIEMONTE,,1401 - 2000,39706,14362,30550,19038,42024,17953,41919,,157,205709
PIEMONTE,,Oltre 2000,7192,1606,2632,2296,5204,1641,3835,,29,24435
PIEMONTE,,Non definito,22,,,,,,,,2,24
PIEMONTE,BENZINA Totale,,178209,38574,127987,146335,337819,173523,388055,,1027,1391529
PIEMONTE,BENZINA E GAS LIQUIDO,Fino a 1400,4464,734,3228,3769,65802,46931,102012,,6,226946
PIEMONTE,,1401 - 2000,6004,2117,4839,3044,12907,9048,12970,,5,50934
PIEMONTE,,Oltre 2000,531,223,470,405,1100,94,29,,1,2853
PIEMONTE,,Non definito,27,2,,1,7,,,,,37
PIEMONTE,BENZINA E GAS LIQUIDO Totale,,11026,3076,8537,7219,79816,56073,115011,,12,280770
PIEMONTE,BENZINA E METANO,Fino a 1400,287,43,134,255,12284,6734,6040,,,25777
PIEMONTE,,1401 - 2000,303,85,182,448,2354,10,29,,1,3412
PIEMONTE,,Oltre 2000,26,5,8,6,85,6,,,,136
PIEMONTE,BENZINA E METANO Totale,,616,133,324,709,14723,6750,6069,,1,29325
PIEMONTE,ELETTRICITA,Non contemplato,,,,,,,,8652,,8652
PIEMONTE,ELETTRICITA Totale,,,,,,,,,8652,,8652
PIEMONTE,GASOLIO,Fino a 1400,3191,226,80,14352,84915,61849,34532,,1,199146
PIEMONTE,,1401 - 2000,14407,4287,23244,82751,147564,193859,290957,,3,757072
PIEMONTE,,Oltre 2000,10214,3156,13024,22468,24843,21117,26070,,8,120900
PIEMONTE,,Non definito,1,,,1,,,,,,2
PIEMONTE,GASOLIO Totale,,27813,7669,36348,119572,257322,276825,351559,,12,1077120
PIEMONTE,IBRIDO BENZINA,Fino a 1400,,,,,46,360,43124,,,43530
PIEMONTE,,1401 - 2000,,,,,217,2370,31224,,,33811
PIEMONTE,,Oltre 2000,,,,,92,77,4021,,,4190
PIEMONTE,IBRIDO BENZINA Totale,,,,,,355,2807,78369,,,81531
PIEMONTE,IBRIDO GASOLIO,1401 - 2000,,,,,,134,4120,,,4254
PIEMONTE,,Oltre 2000,,,,,,18,1083,,,1101
PIEMONTE,IBRIDO GASOLIO Totale,,,,,,,152,5203,,,5355
PIEMONTE,METANO,Fino a 1400,14,2,5,1,6,608,1999,,,2635
PIEMONTE,,1401 - 2000,11,2,5,16,375,162,817,,,1388
PIEMONTE,,Oltre 2000,1,,,,3,,1,,,5
PIEMONTE,METANO Totale,,26,4,10,17,384,770,2817,,,4028
PIEMONTE,ALTRE,Fino a 1400,58,,,,1,3,1,,,63
PIEMONTE,,1401 - 2000,,,,2,,1,,,,3
PIEMONTE,,Oltre 2000,,,,,,,1,,,1
PIEMONTE,ALTRE Totale,,58,,,2,1,4,2,,,67
PIEMONTE,NON DEFINITO,Fino a 1400,25,,1,7,1,,,,2,36
PIEMONTE,,1401 - 2000,3,,1,2,2,,,,,8
PIEMONTE,,Oltre 2000,,,,1,,,,,,1
PIEMONTE,,Non definito,11,,,,1,,,,16,28
PIEMONTE,NON DEFINITO Totale,,39,,2,10,4,,,,18,73
PIEMONTE Totale,,,217787,49456,173208,273864,690424,516904,947085,8652,1070,2878450
VALLE D'AOSTA,BENZINA,Fino a 1400,4152,637,2802,3865,10963,5508,53768,,8,81703
VALLE D'AOSTA,,1401 - 2000,1473,570,1317,904,2615,677,3328,,,10884
VALLE D'AOSTA,,Oltre 2000,193,58,93,80,192,44,1226,,,1886
VALLE D'AOSTA,BENZINA Totale,,5818,1265,4212,4849,13770,6229,58322,,8,94473
VALLE D'AOSTA,BENZINA E GAS LIQUIDO,Fino a 1400,33,7,27,49,993,401,740,,,2250
VALLE D'AOSTA,,1401 - 2000,63,25,51,37,227,77,97,,1,578
VALLE D'AOSTA,,Oltre 2000,15,6,14,8,34,4,,,,81
VALLE D'AOSTA,BENZINA E GAS LIQUIDO Totale,,111,38,92,94,1254,482,837,,1,2909
VALLE D'AOSTA,BENZINA E METANO,Fino a 1400,1,,2,4,73,99,97,,,276
VALLE D'AOSTA,,1401 - 2000,5,4,1,5,16,,1,,,32
VALLE D'AOSTA,,Oltre 2000,,1,,,1,,,,,2
VALLE D'AOSTA,BENZINA E METANO Totale,,6,5,3,9,90,99,98,,,310
VALLE D'AOSTA,ELETTRICITA,Non contemplato,,,,,,,,1640,,1640
VALLE D'AOSTA,ELETTRICITA Totale,,,,,,,,,1640,,1640
VALLE D'AOSTA,GASOLIO,Fino a 1400,43,7,1,316,2086,2847,17491,,1,22792
VALLE D'AOSTA,,1401 - 2000,191,72,621,2613,5318,7185,63924,,1,79925
VALLE D'AOSTA,,Oltre 2000,216,129,595,1084,1248,1013,22830,,,27115
VALLE D'AOSTA,GASOLIO Totale,,450,208,1217,4013,8652,11045,104245,,2,129832
VALLE D'AOSTA,IBRIDO BENZINA,Fino a 1400,,,,,1,21,16740,,,16762
VALLE D'AOSTA,,1401 - 2000,,,,,7,90,2187,,,2284
VALLE D'AOSTA,,Oltre 2000,,,,,7,2,291,,,300
VALLE D'AOSTA,IBRIDO BENZINA Totale,,,,,,15,113,19218,,,19346
VALLE D'AOSTA,IBRIDO GASOLIO,1401 - 2000,,,,,,15,594,,,609
VALLE D'AOSTA,,Oltre 2000,,,,,,,141,,,141
VALLE D'AOSTA,IBRIDO GASOLIO Totale,,,,,,,15,735,,,750
VALLE D'AOSTA,METANO,Fino a 1400,,,,,,9,56,,,65
VALLE D'AOSTA,,1401 - 2000,,,,1,3,4,39,,,47
VALLE D'AOSTA,,Oltre 2000,,,,,,,2,,,2
VALLE D'AOSTA,METANO Totale,,,,,1,3,13,97,,,114
VALLE D'AOSTA,ALTRE,Fino a 1400,1,,,,,,,,,1
VALLE D'AOSTA,ALTRE Totale,,1,,,,,,,,,1
VALLE D'AOSTA,NON DEFINITO,1401 - 2000,1,,,,,,,,,1
VALLE D'AOSTA,NON DEFINITO Totale,,1,,,,,,,,,1
VALLE D'AOSTA Totale,,,6387,1516,5524,8966,23784,17996,183552,1640,11,249376
LOMBARDIA,BENZINA,Fino a 1400,214256,37640,153694,222164,657327,463915,943607,,1461,2694064
LOMBARDIA,,1401 - 2000,87992,34124,72366,49386,144543,71598,153997,,323,614329
LOMBARDIA,,Oltre 2000,21174,5276,9191,8047,18397,5596,14278,,68,82027
LOMBARDIA,,Non definito,36,1,,,1,1,,,6,45
LOMBARDIA,BENZINA Totale,,323458,77041,235251,279597,820268,541110,1111882,,1858,3390465
LOMBARDIA,BENZINA E GAS LIQUIDO,Fino a 1400,5692,691,2216,3345,93848,59507,97243,,20,262562
LOMBARDIA,,1401 - 2000,8600,2768,5405,3648,27554,16075,19506,,11,83567
LOMBARDIA,,Oltre 2000,1143,378,1013,1072,3439,343,136,,1,7525
LOMBARDIA,,Non definito,2,,,,,,,,1,3
LOMBARDIA,BENZINA E GAS LIQUIDO Totale,,15437,3837,8634,8065,124841,75925,116885,,33,353657
LOMBARDIA,BENZINA E METANO,Fino a 1400,728,128,466,595,16580,16757,13947,,2,49203
LOMBARDIA,,1401 - 2000,804,302,693,893,4008,54,181,,2,6937
LOMBARDIA,,Oltre 2000,91,29,42,39,321,28,1,,,551
LOMBARDIA,BENZINA E METANO Totale,,1623,459,1201,1527,20909,16839,14129,,4,56691
LOMBARDIA,ELETTRICITA,Non contemplato,,,,,,,,23429,,23429
LOMBARDIA,ELETTRICITA Totale,,,,,,,,,23429,,23429
LOMBARDIA,GASOLIO,Fino a 1400,5369,236,189,24443,103410,89997,47686,,2,271332
LOMBARDIA,,1401 - 2000,29292,7451,35756,130331,282677,439985,648180,,14,1573686
LOMBARDIA,,Oltre 2000,22180,6555,23787,47029,63104,62211,74106,,11,298983
LOMBARDIA,,Non definito,6,,,,1,,,,,7
LOMBARDIA,GASOLIO Totale,,56847,14242,59732,201803,449192,592193,769972,,27,2144008
LOMBARDIA,IBRIDO BENZINA,Fino a 1400,1,,,,174,1669,74023,,,75867
LOMBARDIA,,1401 - 2000,1,,,,996,11440,108740,,,121177
LOMBARDIA,,Oltre 2000,1,,,,672,640,18691,,,20004
LOMBARDIA,,Non definito,,,,,,,1,,,1
LOMBARDIA,IBRIDO BENZINA Totale,,3,,,,1842,13749,201455,,,217049
LOMBARDIA,IBRIDO GASOLIO,1401 - 2000,,,,,,425,12957,,,13382
LOMBARDIA,,Oltre 2000,4,,,8,,73,4076,,,4161
LOMBARDIA,IBRIDO GASOLIO Totale,,4,,,8,,498,17033,,,17543
LOMBARDIA,METANO,Fino a 1400,35,3,11,17,9,2775,7436,,,10286
LOMBARDIA,,1401 - 2000,52,18,19,172,3084,1575,3567,,,8487
LOMBARDIA,,Oltre 2000,8,,2,,10,,12,,,32
LOMBARDIA,METANO Totale,,95,21,32,189,3103,4350,11015,,,18805
LOMBARDIA,ALTRE,Fino a 1400,93,,,,,,,,,93
LOMBARDIA,,1401 - 2000,,,2,1,4,,4,,,11
LOMBARDIA,,Oltre 2000,,,1,,1,,,,,2
LOMBARDIA,,Non definito,1,,,,,,,,,1
LOMBARDIA,ALTRE Totale,,94,,3,1,5,,4,,,107
LOMBARDIA,NON DEFINITO,Fino a 1400,206,1,1,7,,,,,9,224
LOMBARDIA,,1401 - 2000,32,5,5,3,,,,,3,48
LOMBARDIA,,Oltre 2000,5,,,,,,,,1,6
LOMBARDIA,,Non definito,45,1,,,1,,,,22,69
LOMBARDIA,NON DEFINITO Totale,,288,7,6,10,1,,,,35,347
LOMBARDIA Totale,,,397849,95607,304859,491200,1420161,1244664,2242375,23429,1957,6222101
LIGURIA,BENZINA,Fino a 1400,42730,7747,28080,37495,95475,58477,113065,,147,383216
LIGURIA,,1401 - 2000,11540,5071,9304,5850,13146,5223,11438,,34,61606
LIGURIA,,Oltre 2000,2003,451,747,668,1412,386,887,,6,6560
LIGURIA,,Non definito,3,,,,,,,,,3
LIGURIA,BENZINA Totale,,56276,13269,38131,44013,110033,64086,125390,,187,451385
LIGURIA,BENZINA E GAS LIQUIDO,Fino a 1400,721,79,277,370,7099,5300,10930,,3,24779
LIGURIA,,1401 - 2000,980,347,575,365,1772,999,1237,,,6275
LIGURIA,,Oltre 2000,152,47,100,70,186,29,13,,,597
LIGURIA,,Non definito,5,,,,,,,,,5
LIGURIA,BENZINA E GAS LIQUIDO Totale,,1858,473,952,805,9057,6328,12180,,3,31656
LIGURIA,BENZINA E METANO,Fino a 1400,189,43,108,110,1995,2377,1878,,,6700
LIGURIA,,1401 - 2000,166,65,90,92,232,6,11,,,662
LIGURIA,,Oltre 2000,13,3,4,3,18,2,,,,43
LIGURIA,BENZINA E METANO Totale,,368,111,202,205,2245,2385,1889,,,7405
LIGURIA,ELETTRICITA,Non contemplato,,,,,,,,1634,,1634
LIGURIA,ELETTRICITA Totale,,,,,,,,,1634,,1634
LIGURIA,GASOLIO,Fino a 1400,700,52,64,5538,26529,20155,11091,,,64129
LIGURIA,,1401 - 2000,4044,1118,6047,23023,48492,57088,82762,,1,222575
LIGURIA,,Oltre 2000,3075,1139,4350,7320,8319,6254,6323,,2,36782
LIGURIA,,Non definito,,,,1,,,,,,1
LIGURIA,GASOLIO Totale,,7819,2309,10461,35882,83340,83497,100176,,3,323487
LIGURIA,IBRIDO BENZINA,Fino a 1400,,,,,7,108,14463,,,14578
LIGURIA,,1401 - 2000,,,,,23,536,8839,,,9398
LIGURIA,,Oltre 2000,,,,,22,21,1001,,,1044
LIGURIA,IBRIDO BENZINA Totale,,,,,,52,665,24303,,,25020
LIGURIA,IBRIDO GASOLIO,1401 - 2000,,,,,,26,1415,,,1441
LIGURIA,,Oltre 2000,,,,,,6,332,,,338
LIGURIA,IBRIDO GASOLIO Totale,,,,,,,32,1747,,,1779
LIGURIA,METANO,Fino a 1400,4,1,1,4,2,250,745,,,1007
LIGURIA,,1401 - 2000,5,2,5,9,126,52,219,,,418
LIGURIA,,Oltre 2000,1,1,,,,1,,,,3
LIGURIA,METANO Totale,,10,4,6,13,128,303,964,,,1428
LIGURIA,ALTRE,Fino a 1400,10,,,,,,1,,,11
LIGURIA,,1401 - 2000,,,,,,,1,,,1
LIGURIA,ALTRE Totale,,10,,,,,,2,,,12
LIGURIA,NON DEFINITO,Fino a 1400,2,,,1,,,,,1,4
LIGURIA,,1401 - 2000,1,,,2,,,,,,3
LIGURIA,,Non definito,3,,,,1,,,,1,5
LIGURIA,NON DEFINITO Totale,,6,,,3,1,,,,2,12
LIGURIA Totale,,,66347,16166,49752,80921,204856,157296,266651,1634,195,843818
FRIULI VENEZIA GIULIA,BENZINA,Fino a 1400,29097,6721,30239,34460,95141,54531,94282,,218,344689
FRIULI VENEZIA GIULIA,,1401 - 2000,12801,5742,14315,9618,20390,7891,13922,,58,84737
FRIULI VENEZIA GIULIA,,Oltre 2000,2206,616,1054,975,1849,436,962,,13,8111
FRIULI VENEZIA GIULIA,,Non definito,2,,,,,,,,,2
FRIULI VENEZIA GIULIA,BENZINA Totale,,44106,13079,45608,45053,117380,62858,109166,,289,437539
FRIULI VENEZIA GIULIA,BENZINA E GAS LIQUIDO,Fino a 1400,515,42,184,283,7399,3264,4908,,4,16599
FRIULI VENEZIA GIULIA,,1401 - 2000,872,240,450,338,1599,823,831,,3,5156
FRIULI VENEZIA GIULIA,,Oltre 2000,103,31,74,68,193,17,14,,2,502
FRIULI VENEZIA GIULIA,BENZINA E GAS LIQUIDO Totale,,1490,313,708,689,9191,4104,5753,,9,22257
FRIULI VENEZIA GIULIA,BENZINA E METANO,Fino a 1400,43,10,44,41,702,761,604,,,2205
FRIULI VENEZIA GIULIA,,1401 - 2000,66,15,71,91,278,4,6,,,531
FRIULI VENEZIA GIULIA,,Oltre 2000,5,2,6,2,18,2,,,,35
FRIULI VENEZIA GIULIA,BENZINA E METANO Totale,,114,27,121,134,998,767,610,,,2771
FRIULI VENEZIA GIULIA,ELETTRICITA,Non contemplato,,,,,,,,2219,,2219
FRIULI VENEZIA GIULIA,ELETTRICITA Totale,,,,,,,,,2219,,2219
FRIULI VENEZIA GIULIA,GASOLIO,Fino a 1400,220,18,25,4477,20246,12846,6596,,,44428
FRIULI VENEZIA GIULIA,,1401 - 2000,1671,600,4419,24649,53504,63911,82680,,,231434
FRIULI VENEZIA GIULIA,,Oltre 2000,1859,899,3505,8570,10583,8298,9437,,3,43154
FRIULI VENEZIA GIULIA,GASOLIO Totale,,3750,1517,7949,37696,84333,85055,98713,,3,319016
FRIULI VENEZIA GIULIA,IBRIDO BENZINA,Fino a 1400,,,,,15,178,8769,,,8962
FRIULI VENEZIA GIULIA,,1401 - 2000,2,,,,72,1068,10017,,,11159
FRIULI VENEZIA GIULIA,,Oltre 2000,,,,,89,83,1578,,,1750
FRIULI VENEZIA GIULIA,,Non definito,1,,,,,,,,,1
FRIULI VENEZIA GIULIA,IBRIDO BENZINA Totale,,3,,,,176,1329,20364,,,21872
FRIULI VENEZIA GIULIA,IBRIDO GASOLIO,1401 - 2000,,,,,,43,1439,,,1482
FRIULI VENEZIA GIULIA,,Oltre 2000,1,,,,,10,391,,,402
FRIULI VENEZIA GIULIA,IBRIDO GASOLIO Totale,,1,,,,,53,1830,,,1884
FRIULI VENEZIA GIULIA,METANO,Fino a 1400,3,,2,3,3,135,398,,,544
FRIULI VENEZIA GIULIA,,1401 - 2000,2,3,5,10,113,67,167,,,367
FRIULI VENEZIA GIULIA,,Oltre 2000,,,2,,,,,,,2
FRIULI VENEZIA GIULIA,METANO Totale,,5,3,9,13,116,202,565,,,913
FRIULI VENEZIA GIULIA,ALTRE,Fino a 1400,27,,,,,1,,,,28
FRIULI VENEZIA GIULIA,ALTRE Totale,,27,,,,,1,,,,28
FRIULI VENEZIA GIULIA,NON DEFINITO,Fino a 1400,8,,,,,,,,,8
FRIULI VENEZIA GIULIA,,1401 - 2000,4,,,,,,,,,4
FRIULI VENEZIA GIULIA,,Oltre 2000,1,,,,,,,,,1
FRIULI VENEZIA GIULIA,,Non definito,4,,,,,,,,2,6
FRIULI VENEZIA GIULIA,NON DEFINITO Totale,,17,,,,,,,,2,19
FRIULI VENEZIA GIULIA Totale,,,49513,14939,54395,83585,212194,154369,237001,2219,303,808518
TRENTINO ALTO ADIGE,BENZINA,Fino a 1400,17435,3070,13110,16194,61348,38364,154508,,88,304117
TRENTINO ALTO ADIGE,,1401 - 2000,8242,3157,7209,4580,17537,7146,46348,,17,94236
TRENTINO ALTO ADIGE,,Oltre 2000,2163,583,907,821,2175,661,6426,,3,13739
TRENTINO ALTO ADIGE,,Non definito,5,,,,,,,,,5
TRENTINO ALTO ADIGE,BENZINA Totale,,27845,6810,21226,21595,81060,46171,207282,,108,412097
TRENTINO ALTO ADIGE,BENZINA E GAS LIQUIDO,Fino a 1400,373,56,155,228,5478,2717,13738,,,22745
TRENTINO ALTO ADIGE,,1401 - 2000,724,235,439,329,2256,772,836,,1,5592
TRENTINO ALTO ADIGE,,Oltre 2000,103,58,108,96,263,15,10,,,653
TRENTINO ALTO ADIGE,,Non definito,1,,,,,,,,,1
TRENTINO ALTO ADIGE,BENZINA E GAS LIQUIDO Totale,,1201,349,702,653,7997,3504,14584,,1,28991
TRENTINO ALTO ADIGE,BENZINA E METANO,Fino a 1400,43,4,19,30,949,818,3854,,,5717
TRENTINO ALTO ADIGE,,1401 - 2000,47,20,38,58,231,5,53,,2,454
TRENTINO ALTO ADIGE,,Oltre 2000,8,2,2,2,33,3,,,,50
TRENTINO ALTO ADIGE,BENZINA E METANO Totale,,98,26,59,90,1213,826,3907,,2,6221
TRENTINO ALTO ADIGE,ELETTRICITA,Non contemplato,,,,,,,,23274,,23274
TRENTINO ALTO ADIGE,ELETTRICITA Totale,,,,,,,,,23274,,23274
TRENTINO ALTO ADIGE,GASOLIO,Fino a 1400,234,14,18,2473,12058,12731,24037,,,51565
TRENTINO ALTO ADIGE,,1401 - 2000,2076,615,5098,20676,50392,78662,381790,,1,539310
TRENTINO ALTO ADIGE,,Oltre 2000,1611,826,3828,9048,13715,11747,30303,,3,71081
TRENTINO ALTO ADIGE,,Non definito,,,1,,,,,,,1
TRENTINO ALTO ADIGE,GASOLIO Totale,,3921,1455,8945,32197,76165,103140,436130,,4,661957
TRENTINO ALTO ADIGE,IBRIDO BENZINA,Fino a 1400,,,,,4,53,28255,,,28312
TRENTINO ALTO ADIGE,,1401 - 2000,,,,,62,634,23480,,,24176
TRENTINO ALTO ADIGE,,Oltre 2000,,,,,44,24,4074,,,4142
TRENTINO ALTO ADIGE,IBRIDO BENZINA Totale,,,,,,110,711,55809,,,56630
TRENTINO ALTO ADIGE,IBRIDO GASOLIO,1401 - 2000,,,,,,40,15538,,,15578
TRENTINO ALTO ADIGE,,Oltre 2000,,,,,,11,2950,,,2961
TRENTINO ALTO ADIGE,IBRIDO GASOLIO Totale,,,,,,,51,18488,,,18539
TRENTINO ALTO ADIGE,METANO,Fino a 1400,,,1,2,1,216,3004,,,3224
TRENTINO ALTO ADIGE,,1401 - 2000,3,1,1,7,244,141,3177,,,3574
TRENTINO ALTO ADIGE,,Oltre 2000,,,,,,2,3,,,5
TRENTINO ALTO ADIGE,,Non definito,,,,,,,3,,,3
TRENTINO ALTO ADIGE,METANO Totale,,3,1,2,9,245,359,6187,,,6806
TRENTINO ALTO ADIGE,ALTRE,Fino a 1400,24,,,,,,2,,,26
TRENTINO ALTO ADIGE,,Non definito,,,,,,,7,,,7
TRENTINO ALTO ADIGE,ALTRE Totale,,24,,,,,,9,,,33
TRENTINO ALTO ADIGE,NON DEFINITO,Fino a 1400,6,,,,,,,,2,8
TRENTINO ALTO ADIGE,,1401 - 2000,4,,,,1,,,,,5
TRENTINO ALTO ADIGE,,Non definito,2,,,,,,,,1,3
TRENTINO ALTO ADIGE,NON DEFINITO Totale,,12,,,,1,,,,3,16
TRENTINO ALTO ADIGE Totale,,,33104,8641,30934,54544,166791,154762,742396,23274,118,1214564
VENETO,BENZINA,Fino a 1400,95696,19672,89482,101993,278418,154563,324921,,729,1065474
VENETO,,1401 - 2000,35172,15530,35069,20906,58226,21226,47771,,170,234070
VENETO,,Oltre 2000,8797,2398,3743,3296,7767,2497,5607,,35,34140
VENETO,,Non definito,20,,,,,1,,,2,23
VENETO,BENZINA Totale,,139685,37600,128294,126195,344411,178287,378299,,936,1333707
VENETO,BENZINA E GAS LIQUIDO,Fino a 1400,5674,594,2399,3497,67748,40156,76685,,17,196770
VENETO,,1401 - 2000,7791,2479,5246,3388,23105,9847,10982,,18,62856
VENETO,,Oltre 2000,807,252,575,744,1916,207,154,,2,4657
VENETO,,Non definito,1,,,,1,,,,2,4
VENETO,BENZINA E GAS LIQUIDO Totale,,14273,3325,8220,7629,92770,50210,87821,,39,264287
VENETO,BENZINA E METANO,Fino a 1400,1369,334,1245,1479,21018,21396,19764,,4,66609
VENETO,,1401 - 2000,1528,660,1621,1976,6093,76,164,,1,12119
VENETO,,Oltre 2000,125,33,75,44,416,50,,,1,744
VENETO,BENZINA E METANO Totale,,3022,1027,2941,3499,27527,21522,19928,,6,79472
VENETO,ELETTRICITA,Non contemplato,,,,,,,,10547,,10547
VENETO,ELETTRICITA Totale,,,,,,,,,10547,,10547
VENETO,GASOLIO,Fino a 1400,1501,99,91,19077,79753,61745,31802,,2,194070
VENETO,,1401 - 2000,10599,3829,29062,101267,189913,275731,400900,,8,1011309
VENETO,,Oltre 2000,9789,3844,15248,31599,40167,36471,45527,,8,182653
VENETO,,Non definito,1,,1,,,,,,,2
VENETO,GASOLIO Totale,,21890,7772,44402,151943,309833,373947,478229,,18,1388034
VENETO,IBRIDO BENZINA,Fino a 1400,,,,,44,395,28298,,,28737
VENETO,,1401 - 2000,,,,,249,4124,43244,,,47617
VENETO,,Oltre 2000,1,,,,426,290,9327,,,10044
VENETO,IBRIDO BENZINA Totale,,1,,,,719,4809,80869,,,86398
VENETO,IBRIDO GASOLIO,Fino a 1400,,,,,,,1,,,1
VENETO,,1401 - 2000,,,,,,196,8678,,,8874
VENETO,,Oltre 2000,,,,,,61,2997,,,3058
VENETO,IBRIDO GASOLIO Totale,,,,,,,257,11676,,,11933
VENETO,METANO,Fino a 1400,33,3,9,3,24,3444,10077,,,13593
VENETO,,1401 - 2000,40,7,28,237,4576,2092,5321,,,12301
VENETO,,Oltre 2000,6,,,1,4,,5,,,16
VENETO,METANO Totale,,79,10,37,241,4604,5536,15403,,,25910
VENETO,ALTRE,Fino a 1400,35,,,,5,8,,,,48
VENETO,,1401 - 2000,1,2,1,,,1,1,,,6
VENETO,ALTRE Totale,,36,2,1,,5,9,1,,,54
VENETO,NON DEFINITO,Fino a 1400,32,,,1,1,,,,4,38
VENETO,,1401 - 2000,9,,,1,1,,,,,11
VENETO,,Oltre 2000,4,,1,2,1,,,,,8
VENETO,,Non definito,6,,,,,,,,1,7
